image_id,mask_id,foci_count,label
image_23_D35,78,1,ADR
image_23_D35,85,1,ADR
image_23_D35,88,1,OTHER
image_23_D35,91,1,OTHER
image_23_D35,92,1,OTHER
image_20_D35,1,1,OTHER
image_20_D35,2,7,MES
image_20_D35,4,9,MES
image_20_D35,6,12,MES
image_20_D35,7,5,MES
image_6_D35,1,4,OTHER
image_6_D35,2,9,OTHER
image_6_D35,3,1,OTHER
image_6_D35,4,15,OTHER
image_6_D35,5,3,OTHER
image_6_D35,6,1,OTHER
image_6_D35,7,1,OTHER
image_6_D35,9,1,ADR
image_6_D35,10,9,MES
image_6_D35,11,1,ADR
image_6_D35,12,1,ADR
image_6_D35,14,3,ADR
image_6_D35,15,1,ADR
image_16_D35,2,1,OTHER
image_16_D35,2,1,OTHER
image_16_D35,5,4,OTHER
image_16_D35,9,1,OTHER
image_16_D35,11,1,OTHER
image_12_D35,1,2,OTHER
image_12_D35,2,3,OTHER
image_12_D35,4,1,OTHER
image_12_D35,6,1,OTHER
image_4_D35,5,8,MES
image_4_D35,10,3,MES
image_4_D35,13,2,ADR
image_4_D35,15,2,ADR
image_4_D35,20,8,MES
image_4_D35,23,1,OTHER
image_4_D35,24,1,OTHER
image_4_D35,25,1,OTHER
image_4_D35,26,1,MES
image_4_D35,29,6,MES
image_4_D35,31,5,MES
image_4_D35,33,8,MES
image_7_D35,6,11,MES
image_7_D35,7,5,MES
image_2_D35,3,10,MES
image_2_D35,7,1,OTHER
image_2_D35,12,1,OTHER
image_2_D35,15,3,MES
image_2_D35,18,3,OTHER
image_2_D35,19,1,ADR
image_2_D35,20,2,OTHER
image_2_D35,21,1,ADR
image_2_D35,23,1,ADR
image_15_D35,1,2,OTHER
image_15_D35,3,1,OTHER
image_15_D35,5,1,OTHER
image_15_D35,6,1,OTHER
image_13_D35,5,1,OTHER
image_13_D35,7,3,MES
image_13_D35,8,2,OTHER
image_18_D35,2,1,OTHER
image_18_D35,5,4,MES
image_18_D35,6,2,OTHER
image_9_D35,1,2,OTHER
image_9_D35,2,2,MES
image_0_D35,5,2,OTHER
image_0_D35,6,1,OTHER
image_0_D35,8,4,OTHER
image_8_D35,2,3,OTHER
image_17_D35,8,2,OTHER
image_17_D35,11,1,ADR
image_17_D35,18,1,OTHER
image_17_D35,22,1,OTHER
image_17_D35,23,2,OTHER
image_17_D35,24,1,OTHER
image_10_D35,1,9,MES
image_14_D35,1,1,OTHER
image_14_D35,2,1,OTHER
image_14_D35,3,2,MES
image_19_D35,1,1,MES
image_19_D35,6,1,ADR
image_19_D35,8,2,OTHER
image_19_D35,11,2,ADR
image_19_D35,12,1,OTHER
image_19_D35,13,1,ADR
image_19_D35,15,1,ADR
image_19_D35,23,1,OTHER
image_19_D35,27,2,OTHER
image_19_D35,30,1,ADR
image_19_D35,31,1,ADR
image_19_D35,38,1,OTHER
image_19_D35,42,1,OTHER
image_19_D35,47,1,OTHER
image_1_D35,3,1,MES
image_1_D35,4,1,OTHER
image_1_D35,14,1,ADR
image_11_D35,5,1,OTHER
image_11_D35,7,2,MES
image_11_D35,8,2,OTHER
image_3_D35,13,1,MES
image_5_D35,5,2,OTHER
image_5_D35,6,3,OTHER
image_5_D35,9,6,MES
image_5_D35,10,1,OTHER
image_5_D35,11,3,OTHER
image_5_D35,14,1,ADR
image_5_D35,16,1,OTHER
image_20_D35,12,2,OTHER
image_20_D35,13,2,OTHER
image_20_D35,14,4,OTHER
image_6_D35,1,5,MES
image_6_D35,4,1,OTHER
